NetflixID,Title,Type,ReleaseYear,Synopsis,Runtime,Image,IMDbRating,RT Critic,RT Audience
81012551,The Legend of the Blue Sea,series,2016,"A mermaid from the Joseon period ends up in present-day Seoul, where she crosses paths with a swindler who may have ties to someone from her past.",,https://occ-0-1168-299.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABca05l5TvFb-S7frlc9DH0gD2VHCKcRS_yCdYfSe-C_pv9u0tZNjIbw8q_OTEUN-BG7ARRYQXrsHf9LHBj-T93RJ1A.jpg?r=103,8.1,,
81093925,Njan Prakashan,movie,2018,"Yearning for a lavish life abroad, an entitled, lazy sexist crafts a scam to ditch his thankless nursing job and find a wealthy spouse to secure a visa.",2h5m,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABaiYVAJOrbct_GcRgIvf9-vD7qaZfPEUSmLbtHKv6SKcESt-LxzvoabpJzYTJBpKxazTEstPNgtR5mlV6nUSGQ5mTQ.jpg?r=dd4,7.7,,
80992501,Loving is Losing,movie,2019,"When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",1h31m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABXoG7Z1cyangMRTnMr9IoYqWXerf2HKbHyRET-tVipIQTZX1LhfmtBjaPbyxYJhZlZCIqM6m7XZr9DFVQCbnSvK1wA.jpg?r=4f1,5.5,,
81066244,Aurora,movie,2018,A fatal shipwreck spurs an islander innkeeper and her sister to recover the missing victims' bodies -- until the dead come seeking shelter themselves.,1h38m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABXhByGQhHgVtwx6kVz1mI4_Ywr4XnU1Agc9fFzirkeWbvnP9mEsoOlre93c9QE_9a8QIGKgAMgLM8ulw17yjkKG_QEPklmu6faRqXPXMkMbW4KHclq9iW1ZppKg.jpg?r=fdb,4.3,,
81094665,Shattered Memories,movie,2018,"When her former lover's mysteriously murdered, a woman must clear her name -- and avoid the killer.",1h25m,https://occ-0-753-1360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQlA4-DDgalnFmZ5ky24D7L25gozdDYcDDqxgrMQeiVZkBQ5BoFonaYf1uHQOv3xotaTdtbhxgFUoig5GGJkf9OSLA.jpg?r=ad5,4.2,,
81035873,Love Station,movie,2011,"Single coworkers at a radio station are brought together by mutual friends, but their starry-eyed notions about love may scuttle their romance.",1h37m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYzovClq-bYWjmorbRQYbgkczr2z3TZlCYNC_5nhi82OoztjS6fEmesQXtdCfufdkW6NcNiqG8CtWdPrx8Ms4sWJeA.jpg?r=63d,5.5,,
81035872,Amar's Hands,movie,2011,"To fulfill her husband's dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",2h5m,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABXumqcNt4JWx9rcQhfeQBMcCW05-82NJLpvSvWLv4nlcHw0uU8VJ1EPYWg_IB13Hy2nmu-IUeK4mrVZN_XhYLvrJlQ.jpg?r=8fb,6.0,,
81035878,The Consul's Son,movie,2011,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.,1h54m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABf9ywXaKaK7FFLjnak0EVUA-_CLLU9gwSiYNGKWOCV5pMuOOI1INWwdh8FONzQtLvgD-zs1f1HTlkJLIkZ9Ufz0KvQ.jpg?r=a81,,,
81035869,A Mission in an Old Movie,movie,2012,A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.,1h38m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUZFDWvPDwvopmbWTcUREybNgCSX_ETvmIO16Y87QwtgN2PoCA2AhvSJcckHh0t12zpICWueaf6Z2yvKZUM90evRnA.jpg?r=bb1,,,
81035865,An Hour and a Half,movie,2012,"Based on the 2002 El Ayyat train accident, this drama begins 90 minutes before the explosion, following the lives of riders in the third-class cars.",1h27m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABdTpCI98DObIFnvPY8NhJNPsAYdiK9EJ0gR23uhZp-4iNpcXBotEfiIi6vVh9kAxnYR9zjfN0CHFe7o3vGJvOwketA.jpg?r=b8b,7.1,,
81035862,Omar and Salma 3,movie,2012,"In this second sequel of the trilogy, marital strife brews as Omar pursues a music career despite Salma's wishes that he opt for a more stable job.",1h36m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABQBxVyK8qFFBRVcWJLCow0d4vIP_N6m2RXIQCMeubG2QKykwaDmwTnIRIVF4cjPHoK8mddDFWcK1iWGjUBrxpMubmw.jpg?r=dd7,3.7,,
81004814,BONDING,series,2019,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,,https://occ-0-1952-2433.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZ13WwSU21oPZ6l-bMldMWyB-8bObBCQFe_2hPWjEOWgk7Hud51mGilj_WpSmB1QfjPZAdmLRGg2w1L8WqrooTou9339wjPLoARKdCYtXBKwRaq4RK4s0hcdYpo.jpg?r=938,0.0,71.0,79.0
81077451,Fireflies,movie,2013,"Grappling with love and loss in their respective lives, two estranged brothers must confront their traumatic, unresolved past when they cross paths.",1h39m,https://occ-0-32-34.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABcoGT1I9NSfDWCd-ki0i2AzE_cWBJgp0gHmswi1RoKoauFZqF8BRE82mDb2SkM1I1eb0O26hl2W3XJML144UjGE8UQ.jpg?r=494,7.5,,
80986854,I Think You Should Leave with Tim Robinson,series,2019,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABUGQQvrYN-P5RzD8EAQ8xU1h6lzVKXjNkQ-VsTJtBX3bgl8CtT5PvYZbTwoVFiD0ym7wJeeYEPfQFemKQgz6zJEp7tyvzTMhHEUCLho6Uy8I08iEEGd6g5rz_B0.jpg?r=415,7.6,91.0,71.0
80988031,Down a Dark Hall,movie,2018,A troubled teenage girl is sent to an exclusive boarding school where the students' extraordinary abilities come with a supernatural cost.,1h36m,https://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABcvSfwkyKNdNF2fzfwMUHZvTk8l47DsXdDxlLZ_P5luBacNlH_7QQ6T7DzdZ8obQYlyi_i8oZ8mnfcm3oZaysA4myg.jpg?r=201,5.1,50.0,21.0
80235947,Teen Titans Go! To the Movies,movie,2018,"Feeling left out of the superhero movie craze, the Teen Titans plan to boost their popularity by turning the supervillain Slade into their archnemesis.",1h24m,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABVrKV6veag1yiufO-FEOL1-YCGqm80Cld9tICqpg3br_IaCRbQtg8sl_z_IuA87d-u1lUjjtuqEbkFyMucfIQxd5ew.jpg?r=5ad,6.8,,
81034931,Rampant,movie,2018,"When Prince Lee Cheong returns to Joseon after his brother's death, he finds the kingdom plagued by deadly creatures -- but they're not the only threat.",2h1m,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYpP_p8Izhd_RRzqtPK6Zulkp6GLun0xzqYhKgQE4JPUDsNLwcQpsY8U9fLeTDPCfgQbP9kxnkZ85xJMjKeNEdXaqw.jpg?r=617,6.3,62.0,61.0
80995078,Little Singham in London,movie,2019,"Little Singham is in London to meet the queen, but when the famed Kohinoor Diamond gets stolen, the kid cop goes on a wild, citywide hunt for the thief.",1h6m,https://occ-0-64-58.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABf4qV4WKJ50iDDQ_vPdt37lOe-95ENThpzDdvjGG2yQSsWMeCf_3G0Gd18MqNjbVfRGkOGFeWHL46858JrFkYre_4Q.jpg?r=a1b,,,
